,Rank,Series_Name,Release_year,Duration,Genre,Star,Licence,No_of_votes,Rating
543,544,Lovesick,2014,24 m,Comedy,Johnny,18+,"19,171",8.1
544,545,Secret City,2016,49 m,"Mystery,",Anna,18,"7,785",7.4
545,546,Crossing Lines,2013,43 m,"Action,",Tom,18+,"12,912",7.4
546,547,The Village,2013,60 m,Drama,David,16,"2,155",7.7
547,548,The Protector,2018,40 m,"Action,",Çagatay,18+,"34,134",6.8
548,549,That Time I Got Reincarnated as a Slime,2018,25 m,"Animation,",Miho,16,"8,652",8.2
549,550,Good Luck Charlie,2010,22 m,"Comedy,",Bridgit,18+,"21,092",7.2
550,551,The Mick,2017,30 m,Comedy,Kaitlin,18+,"15,998",7.8
551,552,The Hot Zone,2019,277 m,"Drama,",Julianna,18+,"8,558",7.3
552,553,The Glades,2010,60 m,"Action,",Matt,18,"13,159",7.5
553,554,Mob Psycho,100,24 m,"Animation,",Setsuo,18+,"25,530",8.6
554,555,Miss Fisher s Murder Mysteries,2012,60 m,"Crime,",Essie,18,"15,536",8.3
555,556,Daybreak I,2019,60 m,"Action,",Colin,18+,"19,037",6.7
556,557,Kaguya sama wa kokurasetai Tensai tachi no ren ai zun sen,2019,24 m,"Animation,",Aoi,18,"9,236",8.5
557,558,Rocco Schiavone,2016,100 m,"Crime,",Marco,18+,"1,437",7.8
558,559,Kurulus Osman,2019,120 m,"Action,",Burak,18,"8,481",8.4
559,560,Married at First Sight,2014,83 m,Reality-TV,Pepper,18+,"1,882",6.2
560,561,Baki,2018,45 m,"Animation,",Tôru,15+,"5,396",6.7
561,562,Perception,2012,42 m,"Crime,",Eric,18+,"20,859",7.6
562,563,Miseuteo Shunshain,2018,80 m,"Action,",Lee,A,"6,527",8.8
563,564,Lost Girl,2010,44 m,"Action,",Anna,18+,"30,519",7.7
564,565,Mandy,2019,15 m,Comedy,Diane,18,"1,238",7.1
565,566,The Dragon Prince,2018,26 m,"Animation,",Paula,18+,"21,130",8.4
566,567,Living with Yourself,2019,26 m,"Comedy,",Paul,16,"29,679",7.2
567,568,The Loud House,2015,22 m,"Animation,",Grey,18+,"5,841",7.1
568,569,Forever,2014,43 m,"Crime,",Ioan,18,"56,323",8.3
569,570,Our Girl,2013,60 m,"Action,",Sean,18+,"3,995",7.7
570,571,The Oval,2019,60 m,Drama,Brad,16+,"1,265",4.5
571,572,Teen Titans Go,2013,10 m,"Animation,",Greg,18+,"20,231",5.3
572,573,Sorry for Your Loss,2018,30 m,Drama,Elizabeth,18,"2,381",7.4
573,574,The Dark Crystal Age of Resistance,2019,60 m,"Adventure,",Neil,18+,"23,872",8.4
574,575,Berlin Station,2016,60 m,"Drama,",Leland,18,"8,730",7.6
575,576,Haven,2010,60 m,"Crime,",Emily,18+,"37,475",7.6
576,577,Electric Dreams,2017,60 m,Sci-Fi,Richard,18,"15,943",7.2
577,578,Rookie Blue,2010,42 m,"Action,",Missy,18+,"16,987",7.8
578,579,Fresh Meat,2011,50 m,"Comedy,",Zawe,16,"17,404",7.9
579,580,Salem,2014,60 m,"Drama,",Janet,18+,"23,384",7.2
580,581,The Bridge I,2013,43 m,"Crime,",Demián,18,"18,953",7.6
581,582,Big City Greens,2018,22 m,"Animation,",Chris,18+,"1,900",7.4
582,583,Young Hungry,2014,22 m,"Comedy,",Emily,18,"15,463",7.5
583,584,Stumptown,2019,44 m,"Crime,",Cobie,18+,"11,128",7.5
584,585,Shigatsu wa kimi no uso,2014,23 m,"Animation,",Natsuki,16,"25,570",8.6
585,586,Riviera,2017,60 m,"Drama,",Julia,18+,"7,668",6.7
586,587,The Split,2018,60 m,Drama,Nicola,16,"5,067",7.7
587,588,Catastrophe,2015,24 m,Comedy,Sharon,18+,"18,649",8.2
588,589,From Dusk Till Dawn The Series,2014,45 m,"Action,",D.J.,16,"20,161",6.9
589,590,High Maintenance,2016,30 m,"Comedy,",Ben,18+,"8,448",8.1
590,591,Shake It Up,2010,30 m,"Comedy,",Bella,18,"12,815",5.0
591,592,My Little Pony Friendship Is Magic,2010,22 m,"Animation,",Ashleigh,18+,"20,511",7.9
592,593,Devious Maids,2013,60 m,"Comedy,",Ana,7,"23,532",7.9
593,594,Burden of Truth,2018,44 m,Drama,Kristin,18+,"4,053",7.3
594,595,Okkupert,2015,45 m,"Drama,",Henrik,13,"8,794",7.7
595,596,The Tunnel,2013,60 m,"Crime,",Stephen,18+,"8,838",7.9
596,597,She Ra and the Princesses of Power,2018,30 m,"Animation,",Aimee,18,"14,533",8.0
597,598,The Son,2017,44 m,"Drama,",Pierce,18+,"6,124",7.5
598,599,Ripper Street,2012,59 m,"Crime,",Matthew,15+,"20,760",8.1
599,600,The Chi,2018,60 m,Drama,Jason,18+,"5,647",7.4
600,601,El juego de las llaves,2019,30 m,"Drama,",Maite,18,"1,717",6.7
601,602,Inhumans,2017,43 m,"Action,",Anson,18+,"24,976",5.0
602,603,Baby,2018,50 m,Drama,Benedetta,18,"10,725",6.9
603,604,Project Blue Book,2019,45 m,"Drama,",Aidan,18+,"12,559",7.7
604,605,Fire Force,2019,23 m,"Animation,",Derick,16,"5,903",7.7
605,606,Continuum I,2012,45 m,"Action,",Rachel,18+,"60,250",7.7
606,607,Undone,2019,23 m,"Animation,",Rosa,18,"17,220",8.2
607,608,Salvation,2017,43 m,"Drama,",Santiago,18+,"21,670",7.0
608,609,Gypsy,2017,51 m,"Drama,",Naomi,18+,"15,901",6.8
609,610,Crashing,2016,30 m,Comedy,Phoebe,18+,"18,420",7.7
610,611,On My Block,2018,30 m,"Comedy,",Sierra,16+,"15,302",8.0
611,612,Fortitude,2015,60 m,"Drama,",Richard,18+,"21,148",7.3
612,613,Yasak Elma,2018,120 m,"Drama,",Sevval,18,"1,842",6.0
613,614,Lab Rats,2012,22 m,"Action,",William,18+,"5,749",6.9
614,615,American Vandal,2017,34 m,"Comedy,",Tyler,16,"29,651",8.1
615,616,The Purge,2018,42 m,"Action,",Gabriel,18+,"15,775",6.5
616,617,Food Wars Shokugeki no Soma,2015,24 m,"Animation,",Yoshitsugu,18,"9,340",8.2
617,618,On Becoming a God in Central Florida,2019,46 m,Comedy,Kirsten,18+,"6,372",7.2
618,619,Ben Ultimate Alien,10,22 m,"Animation,",Yuri,18,"7,105",7.7
619,620,Keeping Faith,2017,60 m,"Drama,",Eve,18+,"4,945",7.1
620,621,House of Lies,2012,28 m,"Comedy,",Don,16,"25,023",7.4
621,622,Kimbiseoga wae geureolkka,2018,60 m,"Comedy,",Park,18+,"10,118",8.2
622,623,Kiseij Sei no kakuritsu,2014,22 m,"Animation,",Brittney,18,"33,738",8.4
623,624,Tell Me a Story,2018,52 m,"Drama,",Danielle,18+,"8,841",7.2
624,625,Flack,2019,60 m,"Comedy,",Anna,16,"5,238",7.2
625,626,Bancroft,2017,45 m,"Crime,",Sarah,18+,"3,374",6.8
626,627,Tate no Yuusha no Nariagari,2019,24 m,"Animation,",Kaito,18,"10,771",8.2
627,628,Ansatsu ky shitsu,2013,23 m,"Animation,",Jun,18+,"13,492",8.1
628,629,Baskets,2016,30 m,"Comedy,",Zach,Not Rated,"11,497",7.6
629,630,Naked Attraction,2016,60 m,"Game-Show,",Anna,18+,964,5.4
630,631,Detectorists,2014,30 m,Comedy,Mackenzie,18,"13,566",8.6
631,632,Blood Drive,2017,60 m,"Action,",Alan,18+,"6,144",7.2
632,633,Shrill,2019,30 m,"Comedy,",Aidy,18,"7,905",7.3
633,634,TURN,2014,60 m,"Drama,",Jamie,18+,"21,399",8.1
634,635,Bungou Stray Dogs,2016,24 m,"Animation,",Kaiji,16,"5,118",7.9
635,636,The Exorcist,2016,45 m,"Drama,",Alfonso,18+,"27,847",8.0
636,637,Leyla ile Mecnun,2011,80 m,"Adventure,",Ali,16,"92,778",9.3
637,638,Fazilet Hanim ve Kizlari,2017,140 m,Drama,Nazan,18+,"2,350",7.2
638,639,Girlfriends Guide to Divorce,2014,60 m,"Comedy,",Lisa,UA 16+,"4,452",7.0
639,640,Treme,2010,55 m,"Drama,",Khandi,18+,"14,486",8.3
640,641,Making a Murderer,2015,60 m,"Documentary,",Steven,16,"92,677",8.6
641,642,Great News,2017,22 m,Comedy,Briga,18+,"6,886",7.0
642,643,Republic of Doyle,2010,60 m,"Comedy,",Allan,18,"3,979",7.7
643,644,Mozart in the Jungle,2014,29 m,"Comedy,",Gael,18+,"24,372",8.1
644,645,Las chicas del cable,2017,50 m,Drama,Blanca,16,"13,907",7.6
645,646,Dokutaa Sutoon,2019,24 m,"Animation,",Yûsuke,18+,"16,886",8.3
646,647,Mistresses I,2013,43 m,"Drama,",Alyssa,18,"13,389",7.2
647,648,Innan vi d r,2017,60 m,"Drama,",Marie,18+,"4,184",7.7
648,649,Mirzapur,2018,60 m,"Action,",Pankaj,16,"66,854",8.5
649,650,Troy Fall of a City,2018,60 m,"Action,",Louis,18+,"13,640",3.9
650,651,Drunk History,2013,22 m,"Comedy,",Derek,18,"10,721",7.8
651,652,Don t Trust the B in Apartment,23,22 m,Comedy,Krysten,18+,"36,953",7.3
652,653,Toast of London,2012,30 m,Comedy,Matt,16,"8,508",8.2
653,654,Plebs,2013,25 m,Comedy,Tom,18+,"7,653",7.9
654,655,Manhunt,2019,45 m,"Biography,",Martin,18,"8,027",7.6
655,656,Helluva Boss,2019,12 m,"Animation,",Brandon,18+,"3,364",8.0
656,657,Casual,2015,25 m,"Comedy,",Michaela,PG,"8,082",7.5
657,658,My Mad Fat Diary,2013,47 m,"Comedy,",Ciara,18+,"17,026",8.5
658,659,For the People,2018,1996 i,Drama,Hope,16,"5,564",7.3
659,660,Bimilui Soop,2017,43 m,"Crime,",Cho,18+,"7,578",8.5
660,661,Defiance,2013,60 m,"Action,",Grant,13,"42,319",7.0
661,662,Hinterland,2013,43 m,"Crime,",Richard,18+,"13,635",7.6
662,663,Liv and Maddie,2013,90 m,"Comedy,",Dove,16,"8,181",6.5
663,664,Limitless,2015,22 m,"Comedy,",Jake,18+,"65,868",7.7
664,665,How to Sell Drugs Online Fast,2019,42 m,"Comedy,",Maximilian,16,"30,031",7.9
665,666,Frankie Drake Mysteries,2017,30 m,"Crime,",Lauren,18+,"2,469",6.8
666,667,Out of Cats Does Countdown,8,60 m,"Comedy,",Susie,12+,"5,588",8.2
667,668,People of Earth,2016,30 m,"Comedy,",Wyatt,18+,"7,154",7.7
668,669,The Food That Built America,2019,30 m,"Documentary,",Campbell,18,916,8.5
669,670,Louie,2010,22 m,"Comedy,",Louis,18+,"77,641",8.6
670,671,The Hollow Crown,2012,150 m,"Drama,",Anton,18+,"6,437",8.3
671,672,The Witchfinder,2019,30 m,Comedy,Tuwaine,18+,"5,865",7.8
672,673,This Way Up,2019,25 m,Comedy,Aisling,7,"5,970",5.3
673,674,The Real Housewives of Beverly Hills,2010,44 m,Reality-TV,Kyle,18+,"2,384",6.5
674,675,Are You the One,2014,41 m,Reality-TV,Ryan,A,"19,746",7.1
675,676,Pan Am,2011,1 m,"Drama,",Christina,18+,"8,196",8.4
676,677,Whose Line Is It Anyway,2013,42 m,"Comedy,",Colin,13,"4,372",6.7
677,678,Blood Treasure,2019,22 m,"Action,",Matt,18+,"5,910",8.2
678,679,Velvet,2013,60 m,Drama,Paula,18,"5,447",6.5
679,680,Selling Sunset,2019,43 m,Reality-TV,Mary,18+,"4,105",5.9
680,681,The Masked Singer,2019,30 m,"Game-Show,",Jenny,16,"2,483",5.4
681,682,Nicky Ricky Dicky Dawn,2014,60 m,"Comedy,",Lizzy,18+,"12,022",7.4
682,683,Bad Education,2012,30 m,Comedy,Jack,A,"11,358",7.2
683,684,The Catch,2016,30 m,"Crime,",Mireille,18+,"34,780",7.9
684,685,Episodes,2011,43 m,Comedy,Matt,18,"82,745",6.8
685,686,Terra Nova,2011,30 m,"Adventure,",Jason,18+,"18,069",8.5
686,687,Queer Eye,2018,46 m,Reality-TV,Jonathan,18,"5,008",7.3
687,688,World on Fire,2019,85 m,"Drama,",Jonah,18+,"4,494",8.4
688,689,Alone,2015,45 m,"Documentary,",Nicole,12+,"17,546",8.2
689,690,Friday Night Dinner,2011,57 m,Comedy,Tamsin,18+,"2,457",8.0
690,691,La Reina del Sur,2011,44 m,"Action,",Kate,PG,"17,780",7.8
691,692,El Chapo,2017,24 m,"Biography,",Marco,18+,"2,792",7.3
692,693,Vida,2018,378 m,Drama,Melissa,16,"4,683",6.9
693,694,Jamestown,2017,43 m,"Drama,",Naomi,18+,"7,300",8.3
694,695,Hotel Del Luna,2019,35 m,"Drama,",Ji-eun,16,"12,737",8.0
695,696,Ramy,2019,60 m,"Comedy,",Ramy,18+,"5,873",7.1
696,697,Lucky Man,2016,80 m,"Action,",James,18,"4,419",7.5
697,698,Vivir sin permiso,2018,30 m,Drama,Jose,18+,"4,780",7.3
698,699,Gold Rush,2010,60 m,Reality-TV,Paul,16,"20,269",8.4
699,700,Key and Peele,2012,75 m,"Action,",Keegan-Michael,18+,"9,863",8.7
700,701,Primal,2019,45 m,"Animation,",Aaron,18,"2,442",2.3
701,702,Met stasis,2014,30 m,"Crime,",Constanza,18+,"8,795",7.1
702,703,Liar,2017,22 m,"Crime,",Joanne,18,705,5.1
703,704,Married at First Sight Australia,2015,60 m,Reality-TV,Georgie,18+,"2,875",7.8
704,705,Doctor Doctor,2016,45 m,"Comedy,",Rodger,13,"3,908",7.7
705,706,Hazbin Hotel,2019,42 m,"Animation,",Jill,18+,"12,435",7.0
706,707,Stitchers,2015,50 m,"Crime,",Emma,18,"15,289",7.7
707,708,McMafia,2018,32 m,"Crime,",James,18+,"2,651",7.4
708,709,Det som g ms i sn,2018,60 m,"Crime,",Robert,18,"22,389",7.8
709,710,Transparent,2014,60 m,"Comedy,",Jeffrey,18+,"17,665",7.4
710,711,The Tick,2016,43 m,"Action,",Peter,18,"2,368",6.7
711,712,Monster Musume no Iru Nichijou,2015,30 m,"Animation,",Junji,18+,"11,331",7.9
712,713,Red Oaks,2014,29 m,"Comedy,",Craig,18+,"4,192",6.6
713,714,Capitani,2019,23 m,"Crime,",Luc,18+,"7,220",8.3
714,715,Baegabondeu,2019,30 m,"Action,",Lee,16,"4,067",7.2
715,716,Hidden,2018,312 m,"Crime,",Sian,18+,"13,512",7.8
716,717,Giri Haji,2019,60 m,"Crime,",Takehiro,18,"16,329",6.9
717,718,Krypton,2018,60 m,"Action,",Cameron,18+,"12,489",7.2
718,719,Emerald City,2016,461 m,"Adventure,",Adria,13,"3,312",7.7
719,720,Stath Lets Flats,2018,45 m,Comedy,Jamie,18+,"5,579",8.2
720,721,Bap Jal Sajuneun Yeppeun Nuna,2018,60 m,"Drama,",Son,16,"2,793",6.8
721,722,Rogue,2013,30 m,"Action,",Cole,18+,"12,041",7.5
722,723,The Night Shift,2014,75 m,"Drama,",Eoin,16,"12,731",7.3
723,724,Gakuen mokushiroku HIGHSCHOOL OF THE DEAD,2010,50 m,"Animation,",Jun'ichi,18+,806,8.0
724,725,Astrid et Rapha lle,2019,42 m,"Crime,",Sara,16+,"8,154",7.5
725,726,Outsiders I,2016,24 m,"Crime,",David,18+,"4,157",7.7
726,727,Y koso jitsuryoku shij shugi no ky shitsu e,2017,60 m,"Animation,",Amber,16,"15,456",7.7
727,728,Mr Selfridge,2013,24 m,Drama,Ron,18+,"1,256",7.6
728,729,Balthazar,2018,45 m,"Crime,",Tomer,18,"8,111",7.3
729,730,Baptiste,2019,52 m,"Crime,",Tchéky,18+,"52,113",7.6
730,731,Constantine,2014,60 m,"Crime,",Matt,18,"6,661",8.4
731,732,Last Tango in Halifax,2012,43 m,"Comedy,",Anne,18+,"10,684",8.3
732,733,Him ssen yeo ja Do Bong soon,2017,60 m,"Comedy,",Park,16,"2,407",7.2
733,734,Arifureta Shokugyou de Sekai Saikyou,2019,67 m,"Animation,",Tia,18+,"10,120",7.9
734,735,Teenage Mutant Ninja Turtles,2012,23 m,"Animation,",Sean,16,"21,766",7.2
735,736,Killjoys,2015,24 m,"Action,",Hannah,18+,"4,207",7.3
736,737,Ninjago Masters of Spinjitzu,2011,42 m,"Animation,",Michael,16,"18,271",8.3
737,738,Looking,2014,30 m,"Comedy,",Jonathan,18+,"9,720",6.9
738,739,The Widow I,2019,30 m,"Action,",Kate,18+,946,8.4
739,740,Australian Survivor,2016,60 m,"Adventure,",Jonathan,18+,"6,216",4.9
740,741,Dance Moms,2011,60 m,Reality-TV,Abby,16,"10,341",7.2
741,742,Channel Zero,2016,42 m,"Crime,",Brandon,18+,"17,956",8.0
742,743,Kidding,2018,44 m,"Comedy,",Jim,16,"19,669",6.7
743,744,Cloak Dagger,2018,30 m,"Action,",Olivia,18+,"15,226",8.1
744,745,Galavant,2015,44 m,"Adventure,",Joshua,18,"9,095",8.2
745,746,Exit,2019,22 m,Drama,Agnes,18+,"1,052",7.0
746,747,El Se or de los Cielos,2013,30 m,"Action,",Rafael,18,171,6.7
747,748,Rock the Block,2019,60 m,Reality-TV,Ty,18+,"22,109",7.9
748,749,Akame ga Kill,2014,24 m,"Animation,",Sôma,13,"14,706",8.1
749,750,The Big C,2010,30 m,"Comedy,",Laura,18+,"7,133",7.3
750,751,Wrecked,2016,30 m,"Action,",Zach,18,"1,131",8.0
751,752,Evil Lives Here,2016,43 m,"Documentary,",T.J.,18+,"18,599",7.1
752,753,Melissa Joey,2010,30 m,"Comedy,",Melissa,UA,"44,063",7.6
753,754,Awkward,2011,22 m,"Comedy,",Ashley,18+,"4,262",7.8
754,755,Loudermilk,2017,30 m,"Comedy,",Ron,7,"4,744",6.2
755,756,Ben Omniverse,10,22 m,"Animation,",Yuri,18+,"17,877",6.9
756,757,Paradise PD,2018,28 m,"Animation,",Sarah,7+,"24,354",5.4
757,758,The Mist,2017,42 m,"Drama,",Morgan,18+,"4,073",8.5
758,759,Aseudal Yeondaegi,2019,80 m,"Action,",Song,16,"7,503",6.7
759,760,Instinct,2018,60 m,"Crime,",Alan,18+,"6,752",7.5
760,761,Trust,2018,60 m,"Biography,",Harris,PG,"7,622",7.8
761,762,Unsolved,2018,60 m,"Biography,",Josh,18+,"3,787",8.2
762,763,Meteor Garden,2018,45 m,"Drama,",Dylan,A,706,8.1
763,764,Ninjago,2019,11 m,"Animation,",Kelly,18+,"8,622",7.6
764,765,DARLING in the FRANXX,2018,24 m,"Animation,",Yûto,18,"3,744",7.7
765,766,Girl From Nowhere,2018,45 m,"Crime,",Chicha,18+,"27,437",7.2
766,767,The Carrie Diaries,2013,42 m,"Comedy,",AnnaSophia,18,"6,318",8.1
767,768,Documentary Now,2015,23 m,Comedy,Helen,18+,"9,335",5.6
768,769,Kevin Can Wait,2016,30 m,Comedy,Kevin,All,"11,935",7.6
769,770,The Royals,2015,42 m,Drama,Joan,18+,"17,693",8.3
770,771,I erde,2016,60 m,"Action,",Çagatay,18,"7,122",6.8
771,772,Alta mar,2019,50 m,"Crime,",Ivana,18+,"16,262",8.5
772,773,Trollhunters,2016,23 m,"Animation,",Charlie,18,521,3.5
773,774,LOL Last One Laughing,2018,35 m,Reality-TV,Eugenio,18+,"1,447",8.7
774,775,The Repair Shop,2017,30 m,"Documentary,",Jay,13,936,5.9
775,776,Jugar con Fuego,2019,60 m,Drama,Jason,18+,"13,489",6.1
776,777,V Wars,2019,542 m,"Drama,",Ian,18,"12,273",7.6
777,778,Dogs of Berlin,2018,50 m,"Action,",Felix,18+,"14,126",8.0
778,779,Suburra La serie,2017,22 m,"Action,",Alessandro,15+,"13,790",8.1
779,780,Star vs the Forces of Evil,2015,52 m,"Animation,",Eden,18+,"8,563",7.4
780,781,Luchshe chem lyudi,2018,23 m,"Drama,",Paulina,18,"11,877",7.2
781,782,Ultimate Spider Man,2012,45 m,"Animation,",Drake,18+,"3,635",7.5
782,783,Den som dr ber Fanget af m rket,2019,60 m,"Crime,",Natalie,16+,"16,548",7.0
783,784,No Ordinary Family,2010,150 m,"Action,",Michael,18+,"2,149",6.4
784,785,Sefirin Kizi,2019,60 m,"Action,",Engin,16+,"5,347",7.2
785,786,Four Weddings and a Funeral,2019,60 m,"Comedy,",Nathalie,18+,675,4.6
786,787,Siesta Key,2017,42 m,Reality-TV,Garrett,18,881,6.1
787,788,Temptation Island,2019,30 m,Reality-TV,Mark,18+,"8,361",7.8
788,789,Overlord,2015,60 m,"Animation,",Satoshi,18,"7,201",7.4
789,790,Das Boot,2018,28 m,"Drama,",Tom,18+,"2,521",6.5
790,791,Family Reunion,2019,45 m,"Comedy,",Tia,18,"2,068",6.7
791,792,Beecham House,2019,24 m,Drama,Tom,18+,"5,508",6.8
792,793,Beruseruku,2016,45 m,"Animation,",Max,18,"1,962",6.6
793,794,The Mallorca Files,2019,86 m,"Crime,",Elen,18+,"2,142",7.2
794,795,Ms Fisher s Modern Murder Mysteries,2019,45 m,"Crime,",Geraldine,13,"2,504",6.8
795,796,Morden i Sandhamn,2010,60 m,"Crime,",Alexandra,18+,"3,592",8.2
796,797,El marginal,2016,24 m,"Crime,",Nicolás,16,"9,587",8.2
797,798,Seishun Buta Yaro wa Bunny Girl senpai no Yume wo Minai,2018,85 m,"Animation,",Kaito,18+,"1,849",6.3
798,799,Day Fianc,90,24 m,"Reality-TV,",Natalie,All,"8,115",7.2
799,800,Kakegurui,2017,45 m,"Animation,",Saori,18+,"3,779",8.3
800,801,Home Fires,2015,90 m,"Drama,",Clare,16,211,7.7
801,802,The Crossword Mysteries,2019,22 m,"Crime,",Lacey,18+,"31,833",7.3
802,803,Suburgatory,2011,42 m,Comedy,Jeremy,18,"2,241",6.8
803,804,Pearson,2019,30 m,Drama,Gina,18+,"12,121",7.3
804,805,To the Lake I,2019,44 m,"Drama,",Kirill,12+,"6,406",8.4
805,806,Dangshini Jamdeun Saie,2017,44 m,"Comedy,",Bae,18+,"17,832",7.1
806,807,Bitten,2014,60 m,"Drama,",Laura,18,"25,377",7.6
807,808,Being Human,2011,30 m,"Drama,",Sam,18+,"23,151",7.8
808,809,Vinyl,2016,23 m,"Drama,",Bobby,A,"11,001",8.4
809,810,Dororo,2019,30 m,"Animation,",Jason,18+,"11,254",8.1
810,811,Scooby Doo Mystery Incorporated,2010,30 m,"Animation,",Frank,16,"9,256",5.8
811,812,Sam Cat,2013,60 m,"Comedy,",Jennette,18+,"5,437",8.1
812,813,Flowers,2016,20 m,"Comedy,",Sophia,A,"7,560",8.8
813,814,Dalui Yeonin Bobogyungsim Ryeo,2016,60 m,"Action,",Lee,18+,"12,209",8.0
814,815,Comedians in Cars Getting Coffee,2012,60 m,"Comedy,",Jerry,16,"25,995",8.4
815,816,Rectify,2013,28 m,Drama,Aden,18+,"9,298",8.2
816,817,W Du gaeui segye,2016,30 m,"Action,",Lee,13,"10,184",7.0
817,818,You Me Her,2016,60 m,"Comedy,",Greg,18+,"6,772",7.7
818,819,The Detour,2016,30 m,"Adventure,",Jason,18,"7,024",8.2
819,820,Get Shorty,2017,45 m,"Comedy,",Chris,18+,"11,116",6.1
820,821,Austin Ally,2011,6 i,"Comedy,",Ross,18,"5,480",7.1
821,822,Deep State,2018,60 m,"Action,",Joe,18+,"5,085",7.4
822,823,Greenleaf,2016,45 m,Drama,Merle,13,"11,470",6.7
823,824,Atlantis,2013,52 m,"Adventure,",Mark,18+,"6,552",7.8
824,825,Borgia,2011,17 m,"Biography,",Mark,18,"15,634",7.2
825,826,Bonding,2018,60 m,"Comedy,",Zoe,18+,792,6.8
826,827,Case Sensitive,2011,60 m,"Crime,",Olivia,18,"25,744",7.6
827,828,Witches of East End,2013,60 m,"Drama,",Julia,18+,"5,378",7.5
828,829,Motive,2013,270 m,"Crime,",Kristin,A,"5,362",7.7
829,830,Save Me,2018,90 m,"Drama,",Lennie,18+,"8,118",7.6
830,831,Kara Sevda,2015,42 m,"Drama,",Burak,16,"12,079",7.1
831,832,Aquarius,2015,60 m,"Biography,",David,18+,"7,724",8.5
832,833,Rake,2010,22 m,"Comedy,",Richard,UA 16+,"30,766",6.6
833,834,Anger Management,2012,60 m,"Comedy,",Charlie,18+,"1,012",8.1
834,835,Verdades Secretas,2015,60 m,"Drama,",Camila,16,"3,397",8.2
835,836,Hwarang,2016,44 m,"Action,",Park,18+,"10,824",5.5
836,837,CSI Cyber,2015,30 m,"Crime,",Patricia,18,"6,801",7.5
837,838,Goblin Slayer,2018,60 m,"Animation,",Yuichiro,18+,"8,849",6.7
838,839,NOS A,4,60 m,"Drama,",Ashleigh,18,"1,146",8.0
839,840,La reina del flow,2018,60 m,"Drama,",Carolina,18+,"8,051",7.1
840,841,Catfish The TV Show,2012,60 m,"Reality-TV,",Nev,16,"12,757",8.1
841,842,Quarry,2016,30 m,"Crime,",Logan,18+,"2,514",4.1
842,843,Mulaney,2014,43 m,Comedy,John,UA 13+,"42,490",7.4
843,844,Touch,2012,25 m,"Drama,",Kiefer,18+,"18,129",8.2
844,845,Psycho Pass,2012,30 m,"Animation,",Kana,16,"3,846",7.0
845,846,Mako Mermaids,2013,60 m,"Adventure,",Chai,18+,"10,115",7.1
846,847,Dublin Murders,2019,30 m,"Crime,",Sarah,UA,"7,505",6.8
847,848,Divorce,2016,60 m,"Comedy,",Sarah,18+,"13,667",7.4
848,849,Midnight Texas,2017,44 m,"Drama,",François,16,"8,321",7.7
849,850,Bunheads,2012,21 m,"Comedy,",Sutton,18+,"10,259",7.8
850,851,Man Seeking Woman,2015,23 m,"Comedy,",Jay,16,"9,019",7.7
851,852,Chewing Gum,2015,30 m,Comedy,Michaela,18+,"7,134",6.8
852,853,Sick Note,2017,60 m,"Comedy,",Rupert,18,"6,112",7.4
853,854,Upstairs Downstairs,2010,60 m,Drama,Keeley,18+,"3,853",7.4
854,855,Ink Master,2012,24 m,Reality-TV,Dave,18,"3,067",7.1
855,856,Isekai Mao to Shokan Shojo no Dorei Majutsu,2018,43 m,"Animation,",Masaaki,18+,"11,501",7.6
856,857,Secrets and Lies,2015,22 m,"Crime,",Ryan,18,"1,278",7.4
857,858,Scooby Doo and Guess Who,2019,60 m,"Animation,",Frank,18+,"7,682",7.4
858,859,Tales of the City,2019,60 m,Drama,Laura,16,"49,688",8.0
859,860,Almost Human,2013,60 m,"Action,",Karl,18+,"5,165",7.4
860,861,Jett,2019,4 m,"Crime,",Carla,18,"1,114",8.0
861,862,Vikings Athelstan s Journal,2015,21 m,"Action,",George,18+,"2,600",7.7
862,863,Tangled The Series,2017,90 m,"Animation,",Mandy,18,"6,270",9.2
863,864,Eung dab ha ra,1988,25 m,"Comedy,",Hyeri,18+,"1,835",6.8
864,865,The Bureau of Magical Things,2018,24 m,"Family,",Kimie,13+,"1,022",7.1
865,866,Puppy Dog Pals,2017,60 m,"Animation,",Harland,18+,"5,531",7.9
866,867,The K,2,25 m,"Drama,",Ji,18,"2,744",7.0
867,868,Domestic na Kanojo,2019,27 m,"Animation,",Maaya,18+,"4,129",7.1
868,869,Z The Beginning of Everything,2015,30 m,"Biography,",Christina,16,"5,645",7.4
869,870,Black Monday,2019,75 m,Comedy,Don,18+,"2,648",8.7
870,871,SKY Castle,2018,2 m,"Drama,",Jung-ah,18,158,4.0
871,872,Love Advent,2011,22 m,Action,Kendall,18+,"9,480",7.1
872,873,Whiskey Cavalier,2019,30 m,"Action,",Scott,18,"4,091",7.2
